item_id,section,decision,notes,hashes,similarity
control2::e418b9638122d79354b6d7459c209c2c,attribute_control,accept,,"e418b9638122d79354b6d7459c209c2c,e9d5a9d5a4b9aa94aa761b68f5c15840,e28fd9dcbd7340fc57e1e798d3098493","sim(anchor,positive)=0.795  sim(anchor,negative)=0.640"
control2::e5f75a1571bc6e212fd558ccae1fe211,attribute_control,reject,,"e5f75a1571bc6e212fd558ccae1fe211,e11956dec8e354dfd2d642dcb233adfe,eda46f8ed7a4fbfa37760354634bbc86","sim(anchor,positive)=0.715  sim(anchor,negative)=0.600"
control2::e637fa2e3f67e17fc9c2e791bcf12462,attribute_control,accept,,"e637fa2e3f67e17fc9c2e791bcf12462,e0fdcef8896d199a6a743347b32ae06b,ea184053f2b9fb4e2cf2f617e5d1c25f","sim(anchor,positive)=0.861  sim(anchor,negative)=0.498"
control2::eb62f1fa673736ecae278244515f6bbe,attribute_control,reject,,"eb62f1fa673736ecae278244515f6bbe,e78219c9cccc2ef4266c56a4fd31112a,e04e7ed162a6c0c2c31275f83cb539ae","sim(anchor,positive)=0.731  sim(anchor,negative)=0.468"
control2::f01730de36a74127ce868256a9fe3178,attribute_control,reject,,"f01730de36a74127ce868256a9fe3178,ffd9b8af6f5d64db6b6dab4d2efa5caa,f20b9839b1073c328786c267bb168a4b","sim(anchor,positive)=0.722  sim(anchor,negative)=0.400"
control2::ff614f3283a76d9778dd5c11be099b62,attribute_control,reject,,"ff614f3283a76d9778dd5c11be099b62,f872d497781fec2fc740f4e9f049934b,ea131676b6beb34de454ae471060899b","sim(anchor,positive)=0.772  sim(anchor,negative)=0.563"
control2::f436407c7327b61dd5d50424323fb0b6,attribute_control,accept,,"f436407c7327b61dd5d50424323fb0b6,f1a36bcf5b3865d19428f524636f3cab,feaa1074302730e0e633d59957038006","sim(anchor,positive)=0.738  sim(anchor,negative)=0.506"
control2::e9b17aed0083175bb5a3a01aefb71ea3,attribute_control,reject,,"e9b17aed0083175bb5a3a01aefb71ea3,fed9fc9fae675ca840f42c9e34601329,f436407c7327b61dd5d50424323fb0b6","sim(anchor,positive)=0.710  sim(anchor,negative)=0.590"
control2::f1ce1051924e22d851ed972f6a23e87a,attribute_control,accept,,"f1ce1051924e22d851ed972f6a23e87a,ffd9b8af6f5d64db6b6dab4d2efa5caa,e28fd9dcbd7340fc57e1e798d3098493","sim(anchor,positive)=0.793  sim(anchor,negative)=0.566"
control2::f763eb2806c96e8f222a77eff8f73f28,attribute_control,reject,,"f763eb2806c96e8f222a77eff8f73f28,e29057d88c07a049716f8a9d677a37c6,f9931b0ef13357e9d3e775e25a71ceac","sim(anchor,positive)=0.775  sim(anchor,negative)=0.466"
control2::f31f59efd0d6d241bd89f842d0cf9fda,attribute_control,accept,,"f31f59efd0d6d241bd89f842d0cf9fda,e310096e987b7283538ff61200a6190a,ed8294c17d9f88574601f31b41c1a16c","sim(anchor,positive)=0.787  sim(anchor,negative)=0.486"
control2::fe5f295c87c466df6e471eea9d2e313f,attribute_control,reject,,"fe5f295c87c466df6e471eea9d2e313f,fd26fbc48c9f0a3bc913093a368e8d5a,e9307958d121d3f7dda34f568580a4ec","sim(anchor,positive)=0.757  sim(anchor,negative)=0.542"
control2::e3aeba063a0ce4764fa39b5b42c24a9c,attribute_control,reject,,"e3aeba063a0ce4764fa39b5b42c24a9c,f96b19c3078cdf54978d8b45edf16f9b,df53b774064af9c66ea6218255d8ea1b","sim(anchor,positive)=0.686  sim(anchor,negative)=0.496"
control2::f3127646c313f3eb646fee4713696ae4,attribute_control,reject,,"f3127646c313f3eb646fee4713696ae4,e8e243ebdc221145630cb3cc752c4a2c,fd15743e0df17dba4b81a7693c297f7a","sim(anchor,positive)=0.651  sim(anchor,negative)=0.509"
control2::e770456ad055030fdc8dd37b5f2c53e0,attribute_control,reject,,"e770456ad055030fdc8dd37b5f2c53e0,f885435adce67c11b235099bd65a5448,e9658cfe8fdab57b95d7fb0c1af97b21","sim(anchor,positive)=0.805  sim(anchor,negative)=0.666"
control2::eeac8a2244faceedd3a4f96bc156a8e4,attribute_control,reject,,"eeac8a2244faceedd3a4f96bc156a8e4,ff05be7748dea1d2ac1b6e8c3920a6f5,ff614f3283a76d9778dd5c11be099b62","sim(anchor,positive)=0.747  sim(anchor,negative)=0.535"
control2::e0c8834751d877231c2b9c30107ead6c,attribute_control,reject,,"e0c8834751d877231c2b9c30107ead6c,eb969287689364e8036aba14ffee7315,e2a96eacf3d53e1c490270ac306eff7a","sim(anchor,positive)=0.607  sim(anchor,negative)=0.454"
control2::fc243ea76c7c4291aee3296ea9949076,attribute_control,accept,,"fc243ea76c7c4291aee3296ea9949076,f39baa5961ba30fc1943d0cd737c73e3,e5f75a1571bc6e212fd558ccae1fe211","sim(anchor,positive)=0.708  sim(anchor,negative)=0.488"
control2::e49bf7c184e88437e6c98b7ace1c798b,attribute_control,accept,,"e49bf7c184e88437e6c98b7ace1c798b,f5ad3175716acefc5b2599c2d4f213cb,fd8279bd3699ba4f11d6d65acb41be17","sim(anchor,positive)=0.698  sim(anchor,negative)=0.540"
control2::ffd9b8af6f5d64db6b6dab4d2efa5caa,attribute_control,reject,,"ffd9b8af6f5d64db6b6dab4d2efa5caa,f1ce1051924e22d851ed972f6a23e87a,fb058c48d28089e78d8077c3b10fc4cd","sim(anchor,positive)=0.793  sim(anchor,negative)=0.546"
control2::fbea11b3a6a6d6544affab3211ff1fc1,attribute_control,accept,,"fbea11b3a6a6d6544affab3211ff1fc1,eab9718442e49f681ea9d88e53ffa8b8,e2d44a0f13baa10c03fb15f79e2b75dd","sim(anchor,positive)=0.751  sim(anchor,negative)=0.410"
control2::e1e25461f7ca57af4995b2446dc4fa44,attribute_control,accept,,"e1e25461f7ca57af4995b2446dc4fa44,efcda0d0b8bad6595d7adfd806c527d7,f730431cc923d28164ab38278e00bf38","sim(anchor,positive)=0.769  sim(anchor,negative)=0.480"
control2::eab8d35711dd89bad1ac5a65990d55fb,attribute_control,accept,,"eab8d35711dd89bad1ac5a65990d55fb,efb7a46ea998c0e3fd3fcaa148b4e5ab,edb2cbc498810c951d1e3a6bffde1c03","sim(anchor,positive)=0.755  sim(anchor,negative)=0.382"
control2::dfc8461a7c295ee78be76da35b0521b4,attribute_control,reject,,"dfc8461a7c295ee78be76da35b0521b4,e310096e987b7283538ff61200a6190a,df4c431ec9bbf2cba79cffd829c13f1a","sim(anchor,positive)=0.679  sim(anchor,negative)=0.459"
control2::e3033baff84e6bc612a5ecaefe9d2f94,attribute_control,accept,,"e3033baff84e6bc612a5ecaefe9d2f94,e054bb782d9bf42c88f8ee4fc4c8c62a,dfc8461a7c295ee78be76da35b0521b4","sim(anchor,positive)=0.590  sim(anchor,negative)=0.418"
control2::f6126f0461fa49ffabcabc65cd9e34ef,attribute_control,accept,,"f6126f0461fa49ffabcabc65cd9e34ef,f15b2be8b9f85a5ab560c727601890fe,e7f2cd43be3e6c07606985177fdcad1c","sim(anchor,positive)=0.777  sim(anchor,negative)=0.477"
control2::fee903515296997599f5c0bf61cafbd8,attribute_control,accept,,"fee903515296997599f5c0bf61cafbd8,eda46f8ed7a4fbfa37760354634bbc86,ebee947c663d7c1e66065c1dc8e38f6c","sim(anchor,positive)=0.565  sim(anchor,negative)=0.409"
control2::e3487f2c0a81812d18b107e28cef299c,attribute_control,accept,,"e3487f2c0a81812d18b107e28cef299c,e28fd9dcbd7340fc57e1e798d3098493,fa444794ee5724b8502758e6aa953dbc","sim(anchor,positive)=0.740  sim(anchor,negative)=0.551"
control2::f93304d0964a3be6e870fa1726901639,attribute_control,accept,,"f93304d0964a3be6e870fa1726901639,e0fa6b5ae10efedbd0d7132ab05cf39f,f50cc8a671aefa3fe4377af383e7eca1","sim(anchor,positive)=0.797  sim(anchor,negative)=0.420"
control2::e92dd833e3472eeb6b93df445879966b,attribute_control,reject,,"e92dd833e3472eeb6b93df445879966b,f5b3e50f454b568d70e09c52bb67e448,f5ad3175716acefc5b2599c2d4f213cb","sim(anchor,positive)=0.692  sim(anchor,negative)=0.618"